id;bill_type_name;bill_type_sort;data_time
1;Handmade wireless;16905;2020-06-11T19:17:46
2;Tasty Wooden Gloves;77217;2020-06-12T06:18:01
3;Bahamian Dollar overriding Peso Uruguayo Uruguay Peso en Unidades Indexadas;93488;2020-06-11T20:07:34
4;program firewall Handcrafted Fresh Bike;53132;2020-06-11T17:56:25
5;leading edge front-end;97137;2020-06-11T20:29:53
6;Savings Account Fantastic;71104;2020-06-11T13:48:50
7;Tuna National;23244;2020-06-12T02:55:29
8;collaboration virtual;71977;2020-06-12T00:27:36
9;scalable Incredible Granite Cheese multi-state;3343;2020-06-12T12:46:08
10;Balboa US Dollar;61564;2020-06-12T04:13:26
